date,amount,counterparty,category
2025-01-03,8477.25,MegaClient Corp,revenue
2025-01-04,609.45,Small Buyer A,revenue
2025-01-08,-1300.0,vendor,rent
2025-01-11,-3899.37,vendor,payroll
2025-01-20,-263.75,vendor,supplies
2025-01-27,894.26,Small Buyer C,revenue
2025-01-28,650.46,Small Buyer B,revenue
2025-02-03,-1300.0,vendor,rent
2025-02-13,-307.02,vendor,supplies
2025-02-18,1125.1,Small Buyer B,revenue
2025-02-18,-3892.7,vendor,payroll
2025-02-19,1117.82,Small Buyer C,revenue
2025-02-25,1077.7,Small Buyer A,revenue
2025-02-27,8340.96,MegaClient Corp,revenue
2025-03-06,-3795.93,vendor,payroll
2025-03-07,856.2,Small Buyer A,revenue
2025-03-07,739.52,Small Buyer C,revenue
2025-03-09,692.66,Small Buyer B,revenue
2025-03-13,-1300.0,vendor,rent
2025-03-18,7158.32,MegaClient Corp,revenue
2025-03-23,-288.02,vendor,supplies
2025-04-15,8206.92,MegaClient Corp,revenue
2025-04-16,-3935.53,vendor,payroll
2025-04-20,846.42,Small Buyer C,revenue
2025-04-25,941.93,Small Buyer A,revenue
2025-04-25,-307.72,vendor,supplies
2025-04-26,852.24,Small Buyer B,revenue
2025-04-26,-1300.0,vendor,rent
2025-05-16,1041.95,Small Buyer C,revenue
2025-05-16,-3859.69,vendor,payroll
2025-05-17,7539.51,MegaClient Corp,revenue
2025-05-18,848.16,Small Buyer A,revenue
2025-05-25,-1300.0,vendor,rent
2025-05-25,-308.69,vendor,supplies
2025-05-27,766.74,Small Buyer B,revenue
2025-06-17,681.04,Small Buyer C,revenue
2025-06-18,-1300.0,vendor,rent
2025-06-18,-269.72,vendor,supplies
2025-06-21,661.93,Small Buyer B,revenue
2025-06-24,923.45,Small Buyer A,revenue
2025-06-27,-3717.52,vendor,payroll
2025-06-28,8011.09,MegaClient Corp,revenue
2025-07-04,1037.46,Small Buyer C,revenue
2025-07-08,7517.04,MegaClient Corp,revenue
2025-07-12,-3709.62,vendor,payroll
2025-07-17,892.61,Small Buyer A,revenue
2025-07-23,951.83,Small Buyer B,revenue
2025-07-25,-378.77,vendor,supplies
2025-07-28,-1300.0,vendor,rent
2025-08-03,-1300.0,vendor,rent
2025-08-05,1080.35,Small Buyer B,revenue
2025-08-06,1136.35,Small Buyer C,revenue
2025-08-09,1039.92,Small Buyer A,revenue
2025-08-09,-3670.1,vendor,payroll
2025-08-20,7336.94,MegaClient Corp,revenue
2025-08-24,-248.12,vendor,supplies
2025-09-02,568.71,Small Buyer C,revenue
2025-09-02,-3850.76,vendor,payroll
2025-09-05,999.03,Small Buyer B,revenue
2025-09-06,-1300.0,vendor,rent
2025-09-07,-253.04,vendor,supplies
2025-09-09,6758.76,MegaClient Corp,revenue
2025-09-23,560.5,Small Buyer A,revenue
2025-10-03,1102.68,Small Buyer A,revenue
2025-10-03,658.44,Small Buyer C,revenue
2025-10-09,741.23,Small Buyer B,revenue
2025-10-12,-302.25,vendor,supplies
2025-10-20,7234.42,MegaClient Corp,revenue
2025-10-21,-3748.9,vendor,payroll
2025-10-25,-1300.0,vendor,rent
2025-11-04,-1300.0,vendor,rent
2025-11-10,912.9,Small Buyer B,revenue
2025-11-12,-232.32,vendor,supplies
2025-11-17,-3616.49,vendor,payroll
2025-11-21,7242.3,MegaClient Corp,revenue
2025-11-21,889.01,Small Buyer C,revenue
2025-11-25,575.78,Small Buyer A,revenue
2025-12-06,6942.88,MegaClient Corp,revenue
2025-12-12,551.86,Small Buyer C,revenue
2025-12-12,-3896.36,vendor,payroll
2025-12-14,696.33,Small Buyer B,revenue
2025-12-18,737.62,Small Buyer A,revenue
2025-12-21,-1300.0,vendor,rent
2025-12-22,-396.39,vendor,supplies
