date,amount,counterparty,category
2025-01-02,4511.54,Acme Retail Co,revenue
2025-01-03,-4086.66,vendor,payroll
2025-01-04,1077.33,Cedar & Co,revenue
2025-01-08,-1500.0,vendor,rent
2025-01-08,-247.35,vendor,software
2025-01-09,998.51,Northwind Traders,revenue
2025-01-21,-760.4,vendor,supplies
2025-01-24,-242.6,vendor,utilities
2025-01-25,727.28,BlueSky Logistics,revenue
2025-01-25,664.11,Gilded Goods LLC,revenue
2025-02-02,1056.44,BlueSky Logistics,revenue
2025-02-07,1029.37,Gilded Goods LLC,revenue
2025-02-08,-4305.49,vendor,payroll
2025-02-09,4435.95,Acme Retail Co,revenue
2025-02-10,863.86,Northwind Traders,revenue
2025-02-12,996.94,Cedar & Co,revenue
2025-02-12,-1500.0,vendor,rent
2025-02-13,-240.33,vendor,software
2025-02-14,-838.67,vendor,supplies
2025-02-27,-259.44,vendor,utilities
2025-03-09,-151.48,vendor,software
2025-03-11,740.79,BlueSky Logistics,revenue
2025-03-11,-763.26,vendor,supplies
2025-03-13,1220.57,Cedar & Co,revenue
2025-03-14,1012.86,Northwind Traders,revenue
2025-03-14,-220.03,vendor,utilities
2025-03-16,4034.76,Acme Retail Co,revenue
2025-03-21,1187.24,Gilded Goods LLC,revenue
2025-03-23,-1500.0,vendor,rent
2025-03-24,-4095.85,vendor,payroll
2025-04-07,1133.73,Northwind Traders,revenue
2025-04-08,870.84,BlueSky Logistics,revenue
2025-04-09,-246.78,vendor,utilities
2025-04-16,-753.11,vendor,supplies
2025-04-22,4222.38,Acme Retail Co,revenue
2025-04-22,1191.83,Cedar & Co,revenue
2025-04-22,-4450.02,vendor,payroll
2025-04-22,-212.05,vendor,software
2025-04-24,1040.83,Gilded Goods LLC,revenue
2025-04-25,-1500.0,vendor,rent
2025-05-03,1002.02,Northwind Traders,revenue
2025-05-03,722.77,BlueSky Logistics,revenue
2025-05-08,742.8,Cedar & Co,revenue
2025-05-10,-281.17,vendor,utilities
2025-05-12,-1500.0,vendor,rent
2025-05-14,1021.04,Gilded Goods LLC,revenue
2025-05-17,-772.42,vendor,supplies
2025-05-20,-3860.8,vendor,payroll
2025-05-22,-210.44,vendor,software
2025-05-28,4547.69,Acme Retail Co,revenue
2025-06-04,-4143.33,vendor,payroll
2025-06-05,-1500.0,vendor,rent
2025-06-06,390.07,Cedar & Co,revenue
2025-06-07,-808.3,vendor,supplies
2025-06-10,440.94,Northwind Traders,revenue
2025-06-14,526.79,Gilded Goods LLC,revenue
2025-06-14,-260.54,vendor,utilities
2025-06-15,488.31,BlueSky Logistics,revenue
2025-06-15,-170.79,vendor,software
2025-06-25,1798.87,Acme Retail Co,revenue
2025-07-02,491.58,BlueSky Logistics,revenue
2025-07-05,447.82,Gilded Goods LLC,revenue
2025-07-05,-1500.0,vendor,rent
2025-07-07,-723.9,vendor,supplies
2025-07-10,-218.62,vendor,utilities
2025-07-16,1883.57,Acme Retail Co,revenue
2025-07-19,411.17,Northwind Traders,revenue
2025-07-19,448.17,Cedar & Co,revenue
2025-07-25,-204.63,vendor,software
2025-07-26,-3974.39,vendor,payroll
2025-08-02,-346.54,vendor,supplies
2025-08-05,650.29,Northwind Traders,revenue
2025-08-06,858.3,Cedar & Co,revenue
2025-08-07,-4238.26,vendor,payroll
2025-08-11,984.72,BlueSky Logistics,revenue
2025-08-13,-347.08,vendor,utilities
2025-08-17,-190.11,vendor,software
2025-08-18,970.78,Gilded Goods LLC,revenue
2025-08-26,4777.51,Acme Retail Co,revenue
2025-08-26,-1500.0,vendor,rent
2025-09-04,1045.3,Gilded Goods LLC,revenue
2025-09-06,-1500.0,vendor,rent
2025-09-07,-155.32,vendor,software
2025-09-09,975.97,Northwind Traders,revenue
2025-09-17,-822.97,vendor,supplies
2025-09-20,605.63,BlueSky Logistics,revenue
2025-09-21,-310.24,vendor,utilities
2025-09-26,-4451.55,vendor,payroll
2025-09-28,4702.98,Acme Retail Co,revenue
2025-09-28,938.95,Cedar & Co,revenue
2025-10-08,4338.51,Acme Retail Co,revenue
2025-10-08,1041.66,BlueSky Logistics,revenue
2025-10-09,-1500.0,vendor,rent
2025-10-09,-315.48,vendor,utilities
2025-10-12,-765.18,vendor,supplies
2025-10-14,1032.33,Gilded Goods LLC,revenue
2025-10-18,-4238.61,vendor,payroll
2025-10-19,-247.9,vendor,software
2025-10-22,1187.32,Cedar & Co,revenue
2025-10-26,1150.94,Northwind Traders,revenue
2025-11-03,739.38,BlueSky Logistics,revenue
2025-11-04,1214.03,Gilded Goods LLC,revenue
2025-11-08,-4031.72,vendor,payroll
2025-11-09,1077.11,Northwind Traders,revenue
2025-11-09,-192.38,vendor,software
2025-11-10,1007.04,Cedar & Co,revenue
2025-11-20,-338.69,vendor,supplies
2025-11-24,4005.75,Acme Retail Co,revenue
2025-11-25,-1500.0,vendor,rent
2025-11-27,-232.31,vendor,utilities
2025-12-05,4325.65,Acme Retail Co,revenue
2025-12-05,-3811.08,vendor,payroll
2025-12-05,-696.42,vendor,supplies
2025-12-06,-269.56,vendor,utilities
2025-12-08,-225.13,vendor,software
2025-12-15,696.43,Northwind Traders,revenue
2025-12-15,838.28,BlueSky Logistics,revenue
2025-12-22,672.87,Cedar & Co,revenue
2025-12-25,900.41,Gilded Goods LLC,revenue
2025-12-25,-1500.0,vendor,rent
